stateid,ccode,country,electionid,year,mmdd,types,notes,nelda1,nelda1notes,nelda2,nelda2notes,nelda3,nelda3notes,nelda4,nelda4notes,nelda5,nelda5notes,nelda6,nelda6notes,nelda7,nelda7notes,nelda8,nelda8notes,nelda9,nelda9notes,nelda10,nelda10notes,nelda11,nelda11notes,nelda12,nelda12notes,nelda13,nelda13notes,nelda14,nelda14notes,nelda15,nelda15notes,nelda16,nelda16notes,nelda17,nelda17notes,nelda18,nelda18notes,nelda19,nelda19notes,nelda20,nelda20notes,nelda21,nelda21notes,nelda22,nelda22notes,nelda23,nelda23notes,nelda24,nelda24notes,nelda25,nelda25notes,nelda26,nelda26notes,nelda27,nelda27notes,nelda28,nelda28notes,nelda29,nelda29notes,nelda30,nelda30notes,nelda31,nelda31notes,nelda32,nelda32notes,nelda33,nelda33notes,nelda34,nelda34notes,nelda35,nelda35notes,nelda36,nelda36notes,nelda37,nelda37notes,nelda38,nelda38notes,nelda39,nelda39notes,nelda40,nelda40notes,nelda41,nelda41notes,nelda42,nelda42notes,nelda43,nelda43notes,nelda44,nelda44notes,nelda45,nelda45notes,nelda46,nelda46notes,nelda47,nelda47notes,nelda48,nelda48notes,nelda49,nelda49notes,nelda50,nelda50notes,nelda51,nelda51notes,nelda52,nelda52notes,nelda53,nelda53notes,nelda54,nelda54notes,nelda55,nelda55notes,nelda56,nelda56notes,nelda57,nelda57notes,nelda58,nelda58notes
USA,2,United States of America,002-1960-1108-L1,1960,1108,Legislative/Parliamentary,Concurrent with Kennedy's presidential victory; Republicans gained one seat in the Senate and 20 in the House but Democrats retained control of both houses,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,no,"Though the Democrats lost seats, they retained a majority",yes,,yes,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Eisenhower,,Kennedy,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, UN, NATO",,no,,no,,no,,no,
USA,2,United States of America,002-1960-1108-P1,1960,1108,Executive,"Kennedy won in a very close race against Vice President Nixon; there were some accusations of vote fraud by Kennedy's team, particularly in Texas and Illinois.",no,,no,,yes,,yes,,yes,,no,,yes,,yes,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,yes,,no,,no,,N/A,,yes,,yes,,no,,yes,,yes,Lots of criticism of vote counting in TX and IL,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Eisenhower,,Kennedy,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, UN, NATO",,no,,no,,no,,no,
USA,2,United States of America,002-1962-1106-L1,1962,1106,Legislative/Parliamentary,"Kennedy's midterm elections; Democrats kept sizable majority in both houses (gaining 4 seats in Senate, losing 2 in House)",no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,no,,yes,,yes,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Kennedy,,Kennedy,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, UN, NATO",,no,,no,,no,,no,
USA,2,United States of America,002-1964-1103-L1,1964,1103,Legislative/Parliamentary,Concurrent with Johnson's presidential victory; Democrats gained seats and retained majorities in both houses,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,no,,yes,,yes,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Johnson,,Johnson,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, UN, NATO",,no,,no,,no,,no,
USA,2,United States of America,002-1964-1103-P1,1964,1103,Executive,"Election following Kennedy's assassination; Johnson had been president for one year, but had benefited from JFK's popularity and won with 61% of the vote",no,,no,,yes,,yes,,yes,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,N/A,,N/A,,no,,yes,,yes,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,no,,N/A,,N/A,,N/A,,Johnson,,Johnson,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, UN, NATO",,no,,no,,no,,no,
USA,2,United States of America,002-1966-1108-L1,1966,1108,Legislative/Parliamentary,Johnson's midterm elections; significant Republican wins; Democrats lost seats in both houses but retained a majority,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,no,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Johnson,,Johnson,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, UN, NATO",,no,,no,,no,,no,
USA,2,United States of America,002-1968-1105-L1,1968,1105,Legislative/Parliamentary,Concurrent with Nixon's presidential victory; Republicans gained seats in both houses but the Democrats retained a majority in both,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,no,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Johnson,,Nixon,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, UN, NATO",,no,,no,,no,,no,
USA,2,United States of America,002-1968-1105-P1,1968,1105,Executive,Johnson's unpopularity led to him not seeking reelection. Nixon won slim victory over Democratic candidate VP Humphrey,no,,no,,yes,,yes,,yes,,no,,yes,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,yes,,no,,no,,N/A,,yes,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Johnson,,Nixon,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, UN, NATO",,no,,no,,no,,no,
USA,2,United States of America,002-1970-1103-L1,1970,1103,Legislative/Parliamentary,Nixon's midterm elections; Republicans gained seats in the Senate while Democrats won them in the House; Democrats retained majority in both houses,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,yes,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Nixon,,Nixon,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1972-1107-L1,1972,1107,Legislative/Parliamentary,"Concurrent with Nixon's reelection; Democrats kept majority in both houses, though Republicans gained House seats and Democrats gained Senate seats",no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Nixon,,Nixon,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1972-1107-P1,1972,1107,Executive,"Nixon won reelection in a landslide against Democrat McGovern, carrying 49 states",no,,no,,yes,,yes,,yes,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,yes,,N/A,,N/A,,no,,yes,,yes,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,no,,N/A,,N/A,,N/A,,Nixon,,Nixon,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1974-1105-L1,1974,1105,Legislative/Parliamentary,Elections followed Watergate and Nixon's resignation; Democrats won seats and kept majority in both houses,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,N/A,,N/A,,N/A,,yes,,yes,,yes,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ford,,Ford,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1976-1102-L1,1976,1102,Legislative/Parliamentary,"Concurrent with Carter's electoral victory; Democrats kept majority in both houses, balance remained relatively unchanged",no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,N/A,,N/A,,N/A,,no,,yes,,yes,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ford,,Carter,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1976-1102-P1,1976,1102,Executive,Carter beat incumbent Ford in a relatively close election,no,,no,,yes,,yes,,yes,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,yes,,N/A,,N/A,,yes,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Ford,,Carter,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1978-1107-L1,1978,1107,Legislative/Parliamentary,Carter's midterm elections; Democrats kept control of both houses but lost seats to the Republicans,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,N/A,,N/A,,N/A,,no,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Carter,,Carter,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1980-1104-L1,1980,1104,Legislative/Parliamentary,"Concurrent with Reagan's election; Republicans took control of the Senate with 12 seats, and won many seats in the House, though the Democrats kept the majority",no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,N/A,,N/A,,N/A,,yes,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Carter,,Reagan,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1980-1104-P1,1980,1104,Executive,"Reagan beat incumbent Carter with 51%, to 41%, of the vote ",no,,no,,yes,,yes,,yes,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,yes,,yes,,N/A,,N/A,,yes,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Carter,,Reagan,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1982-1102-L1,1982,1102,Legislative/Parliamentary,Reagan's midterm elections; Republicans kept unchanged Senate majority and Democrats won more seats in House,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,N/A,,N/A,,N/A,,yes,,yes,,yes,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Reagan,,Reagan,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1984-1106-L1,1984,1106,Legislative/Parliamentary,Concurrent with Reagan's reelection;  Republicans kept Senate but lost one seat; Democrats kept House but lost 16 seats,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,yes,,yes,,yes,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Reagan,,Reagan,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1984-1106-P1,1984,1106,Executive,Reagan easily won reelection against Democrat Mondale,no,,no,,yes,,yes,,yes,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,N/A,,N/A,,no,,yes,,yes,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,no,,N/A,,N/A,,N/A,,Reagan,,Reagan,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1986-1104-L1,1986,1104,Legislative/Parliamentary,Reagan's second midterm elections; Democrats took 8 seats and the Senate and kept the House with 5 extra seats,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,yes,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Reagan,,Reagan,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1988-1108-L1,1988,1108,Legislative/Parliamentary,Concurrent with Bush's presidential victory; Democrats kept both houses with slightly increased majorities,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,no,,yes,,yes,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Reagan,,Bush,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1988-1108-P1,1988,1108,Executive,VP Bush won with 53% of the vote over Democrat Dukakis,no,,no,,yes,,yes,,yes,,no,,yes,,yes,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,yes,,no,,no,,N/A,,no,,yes,,yes,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Reagan,,Bush,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1990-1106-L1,1990,1106,Legislative/Parliamentary,Bush's midterm elections; Democrats kept majorities in both houses with slightly increased majorities,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,yes,,yes,,yes,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bush,,Bush,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1992-1103-L1,1992,1103,Legislative/Parliamentary,"Concurrent with Clinton's presidential victory; Democrats kept majorities in both houses (slight gain in Senate, slight loss in House)",no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,no,,yes,,yes,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bush,,Clinton,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1992-1103-P1,1992,1103,Executive,Clinton won election in Bush's reelection bid,no,,no,,yes,,yes,,yes,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,N/A,,N/A,,yes,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,yes,,no,,no,,Bush,,Clinton,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1994-1108-L1,1994,1108,Legislative/Parliamentary,Clinton's midterm elections; Republicans made large gains and took control in both houses,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,yes,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Clinton,,Clinton,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1996-1105-L1,1996,1105,Legislative/Parliamentary,"Concurrent with Clinton's reelection; Republicans kept both houses, though the Democrats made large gains in the House",no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,no,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Clinton,,Clinton,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
USA,2,United States of America,002-1996-1105-P1,1996,1105,Executive,Clinton reelected against Republican Dole,no,,no,,yes,,yes,,yes,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,N/A,,N/A,,no,,yes,,yes,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,no,,N/A,,N/A,,N/A,,Clinton,,Clinton,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"NATO, UN, UK",,no,,no,,no,,no,
